country,date,count
France,1/22/20,0
France,1/23/20,0
France,1/24/20,2
France,1/25/20,3
France,1/26/20,3
France,1/27/20,3
France,1/28/20,4
France,1/29/20,5
France,1/30/20,5
France,1/31/20,5
France,2/1/20,6
France,2/2/20,6
France,2/3/20,6
France,2/4/20,6
France,2/5/20,6
France,2/6/20,6
France,2/7/20,6
France,2/8/20,11
France,2/9/20,11
France,2/10/20,11
France,2/11/20,11
France,2/12/20,11
France,2/13/20,11
France,2/14/20,11
France,2/15/20,12
France,2/16/20,12
France,2/17/20,12
France,2/18/20,12
France,2/19/20,12
France,2/20/20,12
France,2/21/20,12
France,2/22/20,12
France,2/23/20,12
France,2/24/20,12
France,2/25/20,14
France,2/26/20,18
France,2/27/20,38
France,2/28/20,57
France,2/29/20,100
France,3/1/20,130
France,3/2/20,191
France,3/3/20,212
France,3/4/20,285
France,3/5/20,423
France,3/6/20,613
France,3/7/20,938
France,3/8/20,1115
France,3/9/20,1401
France,3/10/20,1773
France,3/11/20,2281
France,3/12/20,2281
France,3/13/20,3661
France,3/14/20,4469
France,3/15/20,4499
France,3/16/20,6633
France,3/17/20,7652
France,3/18/20,9043
France,3/19/20,10871
France,3/20/20,12612
France,3/21/20,14282
France,3/22/20,16533
France,3/23/20,19856
France,3/24/20,22054
France,3/25/20,24967
France,3/26/20,28856
France,3/27/20,32609
France,3/28/20,37162
France,3/29/20,39761
France,3/30/20,44029
France,3/31/20,51579
France,4/1/20,56362
France,4/2/20,58404
France,4/3/20,63588
France,4/4/20,46483
France,4/5/20,47299
France,4/6/20,49934
France,4/7/20,46400
France,4/8/20,50242
France,4/9/20,54003
France,4/10/20,55538
France,4/11/20,56972
France,4/12/20,107712
France,4/13/20,110836
France,4/14/20,128272
France,4/15/20,131476
France,4/16/20,144035
France,4/17/20,145896
France,4/18/20,149683
France,4/19/20,150752
France,4/20/20,153197
France,4/21/20,155821
France,4/22/20,157603
France,4/23/20,155881
France,4/24/20,158653
France,4/25/20,160295
France,4/26/20,160907
France,4/27/20,164592
France,4/28/20,167650
